_row_id,policy_number,claim_id,claim_date,incident_date,claimant_name,claim_type,claim_amount,deductible,payout_amount,claim_status,adjuster_id,loss_ratio,premium_paid,coverage_start,notes
1,POL-AUTO-2024-00001,CLM-2026-00001,2026-01-10,2026-01-08,John Smith,auto_collision,4500.00,500.00,4000.00,closed,ADJ-101,0.85,1200.00,2025-07-01,Rear-end collision at intersection - other driver at fault
2,POL-HOME-2023-00042,CLM-2026-00002,2026-01-12,2026-01-11,Maria Garcia,homeowner_fire,850000.00,2500.00,500000.00,partial,ADJ-102,4.25,2400.00,2023-03-15,Payout capped at $500K policy limit. Actual loss $850K
3,POL-AUTO-2025-00099,CLM-2026-00003,2026-01-13,2026-01-12,Robert Johnson,auto_theft,65000.00,1000.00,0.00,under_investigation,ADJ-SIU-01,0.00,3600.00,2025-01-01,SIU FLAG: Vehicle found 2 miles from claimant home. Inconsistent statements
4,POL-HOME-2022-00007,CLM-2026-00004,2026-01-14,2024-03-15,Sarah Williams,homeowner_water,22000.00,1000.00,0.00,denied,ADJ-103,0.00,1800.00,2022-06-01,DENIED: Claim filed beyond 1-year statute of limitations
5,POL-AUTO-2025-00200,CLM-2026-00005,2026-01-15,2026-01-14,David Brown,auto_glass,0.00,0.00,0.00,info_only,ADJ-101,0.00,900.00,2025-06-01,"Glass claim filed for tracking - no deductible, handled by Safelite direct"
6,POL-AUTO-2024-00001,CLM-2026-00006,2026-01-16,2026-01-08,John Smith,subrogation_recovery,-4000.00,0.00,-4000.00,closed,ADJ-SUBRO-01,-0.85,1200.00,2025-07-01,Recovery from at-fault driver's insurer - Liberty Mutual
7,WC-2025-STATE-FL-00042,WC-CLM-2026-001,2026-01-17,2025-12-20,REDACTED PER WC REGS,workers_comp_injury,15000.00,0.00,8500.00,open,ADJ-WC-01,N/A,N/A,2025-01-01,L5-S1 disc herniation - ongoing treatment. Premium = employer-paid
8,LIFE-2020-TERM-500K,LIFE-CLM-2026-001,2026-01-18,2026-01-15,Estate of James Wilson,life_death_benefit,500000.00,0.00,500000.00,paid,ADJ-LIFE-01,N/A,125.00,2020-01-01,Term life - 20yr term. Monthly premium $125. Death cert verified
9,POL-AUTO-2025-00150,CLM-2026-00009,2026-01-19,2026-01-18,Jennifer Davis & Michael Davis,auto_collision,12000.00,500.00,11500.00,closed,ADJ-104,1.28,2100.00,2025-03-01,"Both named insureds injured. Split payout: J=$7K, M=$4.5K"
10,POL-HOME-2024-00500,CLM-2026-CAT-001,2026-01-20,2025-10-15,Thomas Martinez,homeowner_wind,175000.00,10000.00,165000.00,closed,ADJ-CAT-TEAM,2.75,5000.00,2024-01-01,CAT EVENT: Hurricane Milton. Separate wind deductible 2% of dwelling coverage
